model,icd9,icd9_label,ccs,n_valid_targets,best_rank,best_score,top_score,margin,top_survives_chapter_filter,label_words,residual_label
ClinicalBERT,140,malignant neoplasm of lip,1,1,1,0.99999988079071,0.99999988079071,0,TRUE,4,FALSE
ClinicalBERT,141,malignant neoplasm of tongue,1,2,1,0.991551160812378,0.991551160812378,0,TRUE,4,FALSE
ClinicalBERT,142,malignant neoplasm of major salivary glands,1,2,1,0.987811326980591,0.987811326980591,0,TRUE,6,FALSE
ClinicalBERT,143,malignant neoplasm of gum,1,1,1,1,1,0,TRUE,4,FALSE
ClinicalBERT,144,malignant neoplasm of floor of mouth,1,1,1,1.00000011920929,1.00000011920929,0,TRUE,6,FALSE
ClinicalBERT,145,malignant neoplasm of other and unspecified parts of mouth,1,2,1,0.999999821186066,0.999999821186066,0,TRUE,9,TRUE
ClinicalBERT,146,malignant neoplasm of oropharynx,1,2,1,1,1,0,TRUE,4,FALSE
ClinicalBERT,147,malignant neoplasm of nasopharynx,1,1,1,0.99999988079071,0.99999988079071,0,TRUE,4,FALSE
ClinicalBERT,148,malignant neoplasm of hypopharynx,1,2,1,1.00000011920929,1.00000011920929,0,TRUE,4,FALSE
ClinicalBERT,149,malignant neoplasm of other and illdefined sites within the lip oral cavity and pharynx,1,1,1,0.99249541759491,0.99249541759491,0,TRUE,14,TRUE
ClinicalBERT,150,malignant neoplasm of esophagus,2,1,1,0.998008668422699,0.998008668422699,0,TRUE,4,FALSE
ClinicalBERT,151,malignant neoplasm of stomach,3,1,1,1.00000011920929,1.00000011920929,0,TRUE,4,FALSE
ClinicalBERT,152,malignant neoplasm of small intestine including duodenum,4,1,1,0.987811684608459,0.987811684608459,0,TRUE,7,FALSE
ClinicalBERT,153,malignant neoplasm of colon,5,1,1,1.00000011920929,1.00000011920929,0,TRUE,4,FALSE
ClinicalBERT,154,malignant neoplasm of rectum rectosigmoid junction and anus,6,3,1,0.982244491577148,0.982244491577148,0,TRUE,8,FALSE
ClinicalBERT,155,malignant neoplasm of liver and intrahepatic bile ducts,7,1,1,1,1,0,TRUE,8,FALSE
ClinicalBERT,156,malignant neoplasm of gallbladder and extrahepatic bile ducts,4,2,8,0.973546624183655,0.99658739566803,0.023040771484375,TRUE,8,FALSE
ClinicalBERT,157,malignant neoplasm of pancreas,8,1,1,0.999999403953552,0.999999403953552,0,TRUE,4,FALSE
ClinicalBERT,158,malignant neoplasm of retroperitoneum and peritoneum,4,2,1,0.999999523162842,0.999999523162842,0,TRUE,6,FALSE
ClinicalBERT,159,malignant neoplasm of other and illdefined sites within the digestive organs and peritoneum,4,2,8,0.962487936019897,0.983090400695801,0.0206024646759033,TRUE,13,TRUE
ClinicalBERT,160,malignant neoplasm of nasal cavities middle ear and accessory sinuses,1,2,1,0.989037573337555,0.989037573337555,0,TRUE,10,FALSE
ClinicalBERT,161,malignant neoplasm of larynx,1,1,1,0.99999988079071,0.99999988079071,0,TRUE,4,FALSE
ClinicalBERT,162,malignant neoplasm of trachea bronchus and lung,9,3,1,0.995633244514465,0.995633244514465,0,TRUE,7,FALSE
ClinicalBERT,163,malignant neoplasm of pleura,9,2,1,0.986494660377502,0.986494660377502,0,TRUE,4,FALSE
ClinicalBERT,164,malignant neoplasm of thymus heart and mediastinum,10,3,15,0.979662597179413,0.987865328788757,0.00820273160934448,TRUE,7,FALSE
ClinicalBERT,165,malignant neoplasm of other and illdefined sites within the respiratory system and intrathoracic organs,9,1,1,0.993113398551941,0.993113398551941,0,TRUE,14,TRUE
ClinicalBERT,170,malignant neoplasm of bone and articular cartilage,11,2,1,0.984334647655487,0.984334647655487,0,TRUE,7,FALSE
ClinicalBERT,171,malignant neoplasm of connective and other soft tissue,11,2,1,0.996519207954407,0.996519207954407,0,TRUE,8,TRUE
ClinicalBERT,172,malignant melanoma of skin,12,1,1,0.999999761581421,0.999999761581421,0,TRUE,4,FALSE
ClinicalBERT,174,malignant neoplasm of female breast,13,1,1,0.988583505153656,0.988583505153656,0,TRUE,5,FALSE
ClinicalBERT,176,kaposis sarcoma,10,3,1,0.988871097564697,0.988871097564697,0,TRUE,2,FALSE
ClinicalBERT,179,malignant neoplasm of uterus part unspecified,14,1,1,1.00000035762787,1.00000035762787,0,TRUE,6,TRUE
ClinicalBERT,180,malignant neoplasm of cervix uteri,15,1,1,0.999999761581421,0.999999761581421,0,TRUE,5,FALSE
ClinicalBERT,181,malignant neoplasm of placenta,16,1,1,1.00000023841858,1.00000023841858,0,TRUE,4,FALSE
ClinicalBERT,182,malignant neoplasm of body of uterus,14,1,2,0.988843619823456,0.989138007164001,0.000294387340545654,TRUE,6,FALSE
ClinicalBERT,183,malignant neoplasm of ovary and other uterine adnexa,16,2,3,0.980937957763672,0.986644089221954,0.00570613145828247,TRUE,8,TRUE
ClinicalBERT,184,malignant neoplasm of other and unspecified female genital organs,16,3,1,1.00000011920929,1.00000011920929,0,TRUE,9,TRUE
ClinicalBERT,185,malignant neoplasm of prostate,17,1,1,0.99999988079071,0.99999988079071,0,TRUE,4,FALSE
ClinicalBERT,186,malignant neoplasm of testis,18,1,1,0.999999582767487,0.999999582767487,0,TRUE,4,FALSE
